claim_id,section,claim_text,evidence_file,evidence_key,status,reviewer,notes
CLM-S7-RES-EV-SEG,06_results.md,"EV-SEG measured 1.000000 on the synthetic/sanitized segmentation fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-SEG,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-R3,06_results.md,"EV-R@3 measured 1.000000 on the synthetic/sanitized retrieval fixture.",RESULT_LEDGER.csv,FINK-S5-03-EV-R@3,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-R5,06_results.md,"EV-R@5 measured 1.000000 on the synthetic/sanitized retrieval fixture.",RESULT_LEDGER.csv,FINK-S5-03-EV-R@5,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-AUTH,06_results.md,"EV-AUTH measured 1.000000 on the synthetic/sanitized grounding fixture.",RESULT_LEDGER.csv,FINK-S5-03-EV-AUTH,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-SPAN,06_results.md,"EV-SPAN measured 0.850000 on the synthetic/sanitized cited-span fixture.",RESULT_LEDGER.csv,FINK-S5-03-EV-SPAN,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-KOEN,06_results.md,"EV-KOEN measured 1.000000 on the synthetic/sanitized KO/EN canonical-consistency fixture.",RESULT_LEDGER.csv,FINK-S5-03-EV-KOEN,measured,codex,"no generalized performance claim"
CLM-S7-RES-RULE-EV-F1,06_results.md,"rule_only EV-F1 measured 0.833333 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-rule_only-EV-F1,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-RULE-EV-BENIGN-FPR,06_results.md,"rule_only EV-BENIGN-FPR measured 0.250000 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-rule_only-EV-BENIGN-FPR,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-RULE-EV-SEV,06_results.md,"rule_only EV-SEV measured 0.870000 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-rule_only-EV-SEV,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-MODEL-EV-F1,06_results.md,"model_only EV-F1 measured 0.857143 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-model_only-EV-F1,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-MODEL-EV-BENIGN-FPR,06_results.md,"model_only EV-BENIGN-FPR measured 0.500000 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-model_only-EV-BENIGN-FPR,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-MODEL-EV-SEV,06_results.md,"model_only EV-SEV measured 0.910000 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-model_only-EV-SEV,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-HYBRID-EV-F1,06_results.md,"hybrid EV-F1 measured 0.923077 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-hybrid-EV-F1,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-HYBRID-EV-BENIGN-FPR,06_results.md,"hybrid EV-BENIGN-FPR measured 0.250000 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-hybrid-EV-BENIGN-FPR,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-HYBRID-EV-SEV,06_results.md,"hybrid EV-SEV measured 0.988333 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-hybrid-EV-SEV,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-EV-UNIT,06_results.md,"EV-UNIT measured 1.000000 for the registered formula unit cases.",RESULT_LEDGER.csv,FINK-S5-05-EV-UNIT,measured,codex,"13/13 registered cases passed per artifact notes"
CLM-S7-RES-EV-FINSCEN,06_results.md,"EV-FINSCEN measured 1.000000 for the registered financial-scenario cases.",RESULT_LEDGER.csv,FINK-S5-05-EV-FINSCEN,measured,codex,"10/10 scenario cases passed per artifact notes"
CLM-S7-RES-EV-OFFLINE,06_results.md,"EV-OFFLINE observed 0 outbound network attempts across two accepted synthetic local runs.",RESULT_LEDGER.csv,FINK-S5-06-EV-OFFLINE,measured,codex,"offline integration gate"
CLM-S7-RES-EV-PRIV,06_results.md,"EV-PRIV observed 0 leaks across six log/export surfaces.",RESULT_LEDGER.csv,FINK-S5-06-EV-PRIV,measured,codex,"privacy redaction gate"
CLM-S7-RES-EV-LAT,06_results.md,"EV-LAT max latency measured 0.003412999 seconds across two synthetic local runs.",RESULT_LEDGER.csv,FINK-S5-06-EV-LAT,measured,codex,"no SLA asserted"
CLM-S7-RES-EV-MEM,06_results.md,"EV-MEM max peak memory measured 37279 bytes across two synthetic local runs.",RESULT_LEDGER.csv,FINK-S5-06-EV-MEM,measured,codex,"no memory SLA asserted"
